class_name,has_reference,reference_count,reference_paths,status
nine,True,1,/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/data/Reference/nine/photo-1/nine.jpg,ok
nna,True,1,/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/data/Reference/nna/photo-1/nna.jpg,ok
nnna,True,1,/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/data/Reference/nnna/photo-1/nnna.jpg,ok
nya,True,1,/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/data/Reference/nya/photo-1/nya.jpg,ok
o,True,1,/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/data/Reference/o/photo-1/o.jpg,ok
one,True,1,/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/data/Reference/one/photo-1/one.jpg,ok
pa,True,1,/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/data/Reference/pa/photo-1/pa.jpg,ok
pha,True,1,/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/data/Reference/pha/photo-1/pha.jpg,ok
ra,True,1,/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/data/Reference/ra/photo-1/ra.jpg,ok
ri,True,1,/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/data/Reference/ri/photo-1/ri.jpg,ok
rii,True,1,/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/data/Reference/rii/photo-1/rii.jpg,ok
sa,True,1,/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/data/Reference/sa/photo-1/sa.jpg,ok
saa,True,1,/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/data/Reference/saa/photo-1/saa.jpg,ok
seven,True,1,/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/data/Reference/seven/photo-1/seven.jpg,ok
sha,True,1,/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/data/Reference/sha/photo-1/sha.jpg,ok
six,True,1,/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/data/Reference/six/photo-1/six.jpg,ok
ta,True,1,/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/data/Reference/ta/photo-1/ta.jpg,ok
tha,True,1,/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/data/Reference/tha/photo-1/tha.jpg,ok
three,True,1,/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/data/Reference/three/photo-1/three.jpg,ok
tra,True,1,/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/data/Reference/tra/photo-1/tra.jpg,ok
tta,True,1,/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/data/Reference/tta/photo-1/tta.jpg,ok
ttha,True,1,/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/data/Reference/ttha/photo-1/ttha.jpg,ok
two,True,1,/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/data/Reference/two/photo-1/two.jpg,ok
u,True,1,/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/data/Reference/u/photo-1/u.jpg,ok
uu,True,1,/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/data/Reference/uu/photo-1/uu.jpg,ok
wo,True,1,/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/data/Reference/wo/photo-1/wo.jpg,ok
ya,True,1,/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/data/Reference/ya/photo-1/ya.jpg,ok
zero,True,1,/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/data/Reference/zero/photo-1/zero.jpg,ok
